,Idade,Sexo,Escolaridade,Tipo_Moradia,Saldo_Investimento,Saldo_Conta_Corrente,Valor_Emprestimo,Duracao_Emprestimo,Inadimplencia,Probabilidades_previstas
11,24,H,Graduacao,Alugada,Pouco,Pouco,4308,48,1,0.84001
332,24,H,Ensino Medio,Propria,Moderado,Moderado,7408,60,1,0.82032
375,37,H,Graduacao,Alugada,Pouco,Pouco,7685,48,1,0.80418
973,36,M,Graduacao,Alugada,Pouco,Pouco,7297,60,1,0.80011
59,23,H,Pos Graduacao,Alugada,Pouco,Pouco,6229,36,1,0.79927
915,32,H,Ensino Medio,Propria,Pouco,Moderado,18424,48,1,0.79199
714,27,M,Ensino Medio,Propria,Pouco,Moderado,14027,60,1,0.78867
242,24,M,Graduacao,De favor,Pouco,Pouco,4605,48,1,0.78496
374,60,H,Ensino Medio,De favor,Moderado,Moderado,14782,60,1,0.78115
538,42,M,Ensino Medio,De favor,Pouco,Pouco,7763,48,1,0.77498
771,25,H,Ensino Medio,Propria,Pouco,Pouco,8065,36,1,0.77378
832,29,M,Graduacao,Alugada,Pouco,Pouco,11816,45,1,0.77133
998,23,M,Graduacao,De favor,Pouco,Pouco,1845,45,1,0.76211
736,23,H,Ensino Medio,Alugada,Pouco,Moderado,11560,24,1,0.75467
677,24,M,Graduacao,Propria,Moderado,Moderado,5595,72,1,0.75334
359,23,H,Graduacao,Alugada,Pouco,Pouco,2406,30,1,0.74937
569,31,H,Graduacao,Propria,Pouco,Pouco,6758,48,1,0.749
444,30,H,Ensino Medio,Propria,Pouco,Moderado,5096,48,1,0.74517
285,35,H,Pos Graduacao,Propria,Pouco,Pouco,10722,47,0,0.74493
287,31,M,Ensino Medio,De favor,Moderado,Moderado,7582,48,0,0.74315
927,39,M,Graduacao,De favor,Pouco,Pouco,10297,48,1,0.74148
972,29,H,Ensino Medio,Alugada,Pouco,Pouco,1193,24,1,0.7414
650,50,M,Ensino Medio,De favor,Pouco,Pouco,7476,48,0,0.73687
896,28,H,Ensino Medio,Alugada,Pouco,Pouco,2606,21,0,0.73517
1,22,H,Graduacao,Propria,Pouco,Moderado,5951,48,1,0.72623
295,26,H,Graduacao,Propria,Pouco,Moderado,9960,48,1,0.72511
613,22,H,Graduacao,Alugada,Pouco,Pouco,3632,24,0,0.72474
570,23,H,Pos Graduacao,Alugada,Pouco,Pouco,3234,24,1,0.72092
938,42,M,Graduacao,De favor,Pouco,Moderado,6288,60,1,0.71554
291,28,M,Ensino Medio,Alugada,Pouco,Moderado,9398,36,1,0.71221
44,58,H,Pos Graduacao,De favor,Pouco,Pouco,6143,48,1,0.71084
596,23,H,Graduacao,Alugada,Pouco,Pouco,1442,24,1,0.7092
504,24,H,Graduacao,Alugada,Pouco,Pouco,1207,24,1,0.70285
205,38,M,Ensino Medio,De favor,Pouco,Pouco,10623,30,0,0.70284
392,39,M,Ensino Medio,De favor,Pouco,Pouco,3249,36,0,0.69914
292,44,H,Ensino Medio,De favor,Pouco,Pouco,6419,24,0,0.69727
988,29,M,Ensino Medio,De favor,Pouco,Pouco,6579,24,0,0.69203
585,20,H,Graduacao,Alugada,Pouco,Pouco,2039,18,1,0.68987
341,26,H,Pos Graduacao,Alugada,Pouco,Pouco,3599,21,0,0.68826
367,22,H,Graduacao,Alugada,Pouco,Pouco,3650,18,0,0.68728
701,46,M,Graduacao,De favor,Pouco,Pouco,6331,48,1,0.68678
887,23,M,Graduacao,Propria,Pouco,Moderado,15672,48,1,0.68478
286,26,M,Graduacao,Propria,Pouco,Pouco,4788,48,0,0.68315
194,21,M,Graduacao,Alugada,Moderado,Moderado,3031,45,1,0.68219
466,29,H,Pos Graduacao,Alugada,Pouco,Pouco,1659,24,1,0.68175
496,29,M,Ensino Medio,Alugada,Moderado,Moderado,9034,36,1,0.67945
926,21,H,Graduacao,Alugada,Pouco,Pouco,1049,18,0,0.67943
814,46,M,Graduacao,De favor,Pouco,Pouco,3931,48,1,0.67449
618,21,H,Graduacao,Alugada,Moderado,Moderado,3441,30,1,0.6736
831,23,H,Graduacao,Alugada,Pouco,Pouco,1216,18,1,0.66931
141,30,H,Ensino Medio,Propria,Pouco,Moderado,4795,36,0,0.66902
347,23,H,Ensino Medio,Alugada,Alto,Moderado,3758,24,0,0.66861
761,24,H,Graduacao,Alugada,Pouco,Pouco,2124,18,1,0.66851
63,25,M,Graduacao,Propria,Pouco,Moderado,14421,48,1,0.66737
491,42,H,Ensino Medio,De favor,Pouco,Moderado,8318,27,1,0.66724
593,20,H,Pos Graduacao,Alugada,Pouco,Moderado,2718,24,1,0.66553
340,24,H,Graduacao,De favor,Pouco,Moderado,5743,24,0,0.66309
475,26,H,Graduacao,Alugada,Pouco,Pouco,3114,18,1,0.66256
7,35,M,Ensino Medio,Alugada,Pouco,Moderado,6948,36,0,0.66224
727,25,H,Graduacao,Alugada,Pouco,Pouco,1882,18,1,0.66166
528,31,M,Graduacao,Alugada,Pouco,Pouco,2302,36,1,0.66152
3,45,M,Graduacao,De favor,Pouco,Pouco,7882,42,0,0.66051
18,44,H,Ensino Medio,De favor,Pouco,Moderado,12579,24,1,0.65826
116,30,H,Ensino Medio,Propria,Sem investimento,Pouco,7174,42,1,0.65642
746,23,H,Graduacao,Alugada,Pouco,Pouco,2511,15,0,0.65589
739,26,H,Pos Graduacao,Alugada,Moderado,Moderado,4280,30,1,0.65351
43,24,M,Graduacao,Alugada,Moderado,Pouco,6187,30,0,0.65347
381,38,H,Ensino Medio,De favor,Pouco,Moderado,12976,18,1,0.65337
522,53,M,Graduacao,De favor,Pouco,Pouco,7119,48,1,0.65216
552,34,M,Graduacao,Propria,Pouco,Pouco,6999,48,1,0.65027
993,30,M,Ensino Medio,Propria,Pouco,Pouco,3959,36,0,0.64663
616,27,M,Ensino Medio,De favor,Sem investimento,Alto,9157,60,0,0.64594
155,20,H,Graduacao,Alugada,Pouco,Pouco,1282,12,1,0.64579
322,34,M,Ensino Medio,De favor,Pouco,Pouco,2910,24,0,0.64523
191,34,M,Pos Graduacao,De favor,Moderado,Moderado,3844,48,1,0.64494
945,30,H,Graduacao,Propria,Alto,Moderado,8358,48,0,0.64431
229,22,M,Graduacao,De favor,Pouco,Pouco,3149,24,0,0.6425
639,26,M,Graduacao,Propria,Pouco,Pouco,4370,42,1,0.64046
812,24,M,Graduacao,Propria,Pouco,Pouco,9629,36,1,0.6388
985,25,H,Graduacao,Alugada,Pouco,Pouco,1433,15,0,0.63867
731,21,M,Pos Graduacao,Alugada,Pouco,Pouco,1987,24,1,0.63783
623,22,H,Graduacao,Alugada,Pouco,Pouco,1858,12,0,0.63741
805,24,M,Graduacao,Propria,Pouco,Pouco,9271,36,1,0.63686
818,43,M,Ensino Medio,Propria,Pouco,Pouco,15857,36,0,0.63629
334,23,M,Graduacao,Alugada,Pouco,Pouco,4110,24,1,0.63428
809,26,H,Ensino Medio,Alugada,Pouco,Moderado,1778,15,1,0.63334
118,23,H,Graduacao,Propria,Alto,Pouco,4281,33,1,0.63282
446,34,H,Graduacao,Propria,Pouco,Pouco,1842,36,1,0.63187
95,58,M,Graduacao,Alugada,Pouco,Moderado,15945,54,1,0.63073
789,27,M,Graduacao,Propria,Pouco,Pouco,5998,40,1,0.62956
101,24,M,Graduacao,Alugada,Pouco,Moderado,2323,36,0,0.62757
826,33,H,Graduacao,Alugada,Pouco,Pouco,3966,18,1,0.62707
218,24,M,Pos Graduacao,Alugada,Pouco,Pouco,3021,24,0,0.62604
395,32,M,Graduacao,Alugada,Moderado,Moderado,11760,39,0,0.62556
905,20,M,Ensino Medio,Alugada,Pouco,Pouco,1107,12,0,0.62493
728,59,H,Graduacao,Alugada,Pouco,Moderado,6416,48,1,0.62444
501,42,M,Graduacao,De favor,Pouco,Pouco,5493,36,0,0.62322
14,28,H,Graduacao,Alugada,Pouco,Pouco,1403,15,0,0.62101
983,26,M,Graduacao,Propria,Pouco,Pouco,8229,36,1,0.61944
869,24,H,Graduacao,Alugada,Pouco,Pouco,652,12,0,0.61909
561,24,M,Pos Graduacao,Alugada,Pouco,Pouco,1546,24,1,0.61787
640,27,H,Ensino Medio,Propria,Pouco,Pouco,750,18,1,0.614
922,22,H,Graduacao,Alugada,Pouco,Pouco,1366,9,1,0.61348
919,39,M,Ensino Medio,Alugada,Pouco,Pouco,3345,24,1,0.61066
565,23,H,Graduacao,Alugada,Moderado,Moderado,1553,24,0,0.61038
808,55,M,Ensino Medio,De favor,Pouco,Moderado,9283,42,0,0.60879
47,23,H,Ensino Medio,Alugada,Alto,Pouco,1352,6,0,0.60488
262,36,M,Ensino Medio,De favor,Pouco,Pouco,5302,18,0,0.60428
706,24,M,Graduacao,Propria,Moderado,Moderado,6560,48,1,0.60226
142,27,M,Ensino Medio,Propria,Pouco,Pouco,3416,27,0,0.59746
951,24,M,Graduacao,Propria,Pouco,Pouco,2145,36,1,0.59721
35,25,M,Pos Graduacao,Propria,Pouco,Moderado,4746,45,1,0.59705
500,27,H,Graduacao,Propria,Pouco,Pouco,3123,24,1,0.59469
131,29,M,Graduacao,Propria,Pouco,Pouco,6887,36,1,0.59399
630,28,H,Graduacao,Propria,Pouco,Pouco,3660,24,0,0.5917
148,28,M,Graduacao,Propria,Pouco,Pouco,5371,36,0,0.59141
76,34,M,Graduacao,Propria,Pouco,Pouco,3965,42,1,0.59089
802,24,H,Graduacao,Propria,Pouco,Pouco,4272,20,0,0.5902
